report_id,facility_id,date,issue,severity
R3000,A124,2024-01-03,Hong bong den,Medium
R3001,A136,2024-01-21, Dieu hoa hong,low
R3002,a116,26/05/2024,may chieu khong len,high 
R3003,a137,2024-05-20, mat dien,Low
R3004,A105 ,06/01/2024, wifi yeu,medium
R3005,A125 ,16/03/2024,Hong bong den,low
R3006,a108,08/03/2024, wifi yeu,Medium
R3007, A101,30/03/2024,may chieu khong len,medium
R3008,A150 ,06/05/2024, wifi yeu,Medium
R3009,A151,2024-01-31,may chieu khong len,high 
R3010,A111,2024-01-06, mat dien,medium
R3011, A120,17/03/2024, wifi yeu,Medium
R3012,A153,14/01/2024, mat dien,HIGH
R3013, A139,17/04/2024, loa bi re,high 
R3014,A103,05/02/2024, wifi yeu,high 
R3015,a117,2024-01-13,Hong bong den,low
R3016, A133,22/03/2024, Dieu hoa hong,low
R3017,a148,2024-01-19,may chieu khong len,low
R3018,A121,23/01/2024,Hong bong den,Low
R3019,A135,2024-05-04, wifi yeu,high 
R3020,a127,2024-02-09, Dieu hoa hong,Medium
R3021,A146,16/01/2024,Hong bong den,HIGH
R3022,a117,2024-04-02, loa bi re,high 
R3023, A128,02/03/2024, mat dien,Low
R3024, A142,22/04/2024, wifi yeu,low
R3025,a108,03/01/2024, Dieu hoa hong,medium
R3026,a141,2024-04-16,may chieu khong len,medium
R3027,A152 ,2024-03-30, wifi yeu,HIGH
R3028,a144,14/01/2024, wifi yeu,low
R3029,A153,2024-03-09, wifi yeu,low
R3030,A145 ,17/02/2024,may chieu khong len,high 
R3031,a130,12/01/2024,Hong bong den,low
R3032, A142,2024-03-20, Dieu hoa hong,high 
R3033,A135,11/01/2024, wifi yeu,high 
R3034, A142,2024-03-07,may chieu khong len,Low
R3035,A145 ,2024-03-17,Hong bong den,HIGH
R3036,A111,22/04/2024,may chieu khong len,low
R3037,A103,2024-01-04, mat dien,Medium
R3038, A128,07/01/2024, mat dien,HIGH
R3039, A120,27/03/2024,may chieu khong len,low
R3040,A156 ,2024-04-30, mat dien,Low
R3041,A140,26/05/2024, mat dien,HIGH
R3042,a122,2024-05-21,may chieu khong len,medium
R3043,A153,2024-02-02, Dieu hoa hong,HIGH
R3044, A133,2024-04-08, Dieu hoa hong,HIGH
R3045,a155,2024-03-31, Dieu hoa hong,Low
R3046,a148,2024-01-25,may chieu khong len,low
R3047,a134,28/05/2024, Dieu hoa hong,high 
R3048, A101,2024-04-03, Dieu hoa hong,medium
R3049, A128,19/05/2024,may chieu khong len,HIGH
R3050,a144,2024-01-08,may chieu khong len,Low
R3051,A124,22/03/2024, mat dien,HIGH
R3052,A126 ,2024-04-10, Dieu hoa hong,HIGH
R3053, A133,30/03/2024, loa bi re,high 
R3054,a108,01/02/2024,Hong bong den,Low
R3055,A125 ,14/04/2024, wifi yeu,high 
R3056,A114 ,2024-04-23,Hong bong den,low
R3057,A156 ,2024-03-17, loa bi re,medium
R3058,a155,2024-02-25, Dieu hoa hong,high 
R3059,A113 ,2024-04-09, loa bi re,Medium
R3060,A103,2024-03-28, Dieu hoa hong,low
R3061,A146,2024-04-06, loa bi re,low
R3062, A109,2024-03-07, Dieu hoa hong,HIGH
R3063,A140,19/02/2024,may chieu khong len,medium
R3064,A124,04/03/2024, wifi yeu,Medium
R3065,A156 ,05/03/2024, wifi yeu,medium
R3066, A120,2024-05-11, loa bi re,HIGH
R3067, A110,02/01/2024,Hong bong den,low
R3068,A124,2024-04-27, loa bi re,high 
R3069,A136,01/04/2024, Dieu hoa hong,medium
R3070,A153,2024-05-09, wifi yeu,low
R3071,A136,2024-03-25,may chieu khong len,medium
R3072,a141,2024-05-27, mat dien,high 
R3073,a100,2024-03-06, mat dien,low
R3074,A152 ,13/02/2024, wifi yeu,HIGH
R3075,A157 ,08/02/2024,Hong bong den,HIGH
R3076,A115,2024-03-18, loa bi re,Low
R3077,A157 ,2024-05-17,Hong bong den,Medium
R3078,A131 ,2024-03-09,may chieu khong len,medium
R3079,a130,2024-01-25, wifi yeu,high 
R3080,A121,18/03/2024, wifi yeu,high 
R3081,a130,2024-02-23,Hong bong den,Low
R3082,a155,19/03/2024, wifi yeu,high 
R3083,A147 ,2024-03-25,may chieu khong len,high 
R3084,A121,16/04/2024, Dieu hoa hong,medium
R3085,A131 ,08/04/2024,Hong bong den,medium
R3086,A159,26/04/2024, mat dien,medium
R3087,A102 ,2024-02-28,may chieu khong len,medium
R3088,A150 ,16/01/2024, wifi yeu,Medium
R3089,A104,2024-05-14, wifi yeu,Low
R3090,a127,22/05/2024, wifi yeu,medium
R3091,A131 ,2024-05-26,Hong bong den,high 
R3092, A133,2024-03-13, loa bi re,low
R3093,a127,2024-02-12, wifi yeu,medium
R3094,a148,27/02/2024, loa bi re,high 
R3095,A147 ,2024-04-06, Dieu hoa hong,Medium
R3096, A132,25/05/2024,Hong bong den,Medium
R3097,A104,16/04/2024,Hong bong den,medium
R3098,A105 ,03/05/2024,may chieu khong len,low
R3099,a108,2024-04-12, Dieu hoa hong,low
R3100,A159,09/04/2024, mat dien,low
R3101,A159,02/04/2024, wifi yeu,high 
R3102,a122,2024-01-08, Dieu hoa hong,low
R3103,a154,28/01/2024, Dieu hoa hong,high 
R3104,A131 ,19/05/2024,Hong bong den,low
R3105,a129,2024-01-21, loa bi re,Medium
R3106,A140,2024-03-08, mat dien,HIGH
R3107,a154,2024-05-21, mat dien,HIGH
R3108,a134,10/05/2024, Dieu hoa hong,Medium
R3109, A118,2024-05-12, mat dien,high 
R3110,A135,2024-04-25, wifi yeu,HIGH
R3111,A151,2024-01-01,Hong bong den,low
R3112,a106,10/04/2024,may chieu khong len,medium
R3113, A132,09/04/2024,may chieu khong len,low
R3114,a117,2024-01-11, Dieu hoa hong,HIGH
R3115, A128,2024-04-18, loa bi re,Low
R3116,A158,2024-02-15, wifi yeu,Low
R3117, A123,2024-01-05, Dieu hoa hong,high 
R3118,A103,19/02/2024, wifi yeu,HIGH
R3119,A136,11/02/2024, mat dien,Low
